"CA1-3 Personal income summary"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"13117","Forsyth, GA",41354
"13119","Franklin, GA",28956
"13121","Fulton, GA",57451
"13123","Gilmer, GA",27624
"13125","Glascock, GA",22659
"13127","Glynn, GA",36619
"13129","Gordon, GA",26382
"13131","Grady, GA",27801
"13133","Greene, GA",38429
"13135","Gwinnett, GA",32861
"13137","Habersham, GA",27075
"13139","Hall, GA",32001
"13141","Hancock, GA",21059
"13143","Haralson, GA",28347
"13145","Harris, GA",49114
"13147","Hart, GA",26552
"13149","Heard, GA",26289
"13151","Henry, GA",30143
"13153","Houston, GA",34674
"13155","Irwin, GA",28454
"13157","Jackson, GA",30048
"13159","Jasper, GA",29818
"13161","Jeff Davis, GA",24979
"13163","Jefferson, GA",26509
"13165","Jenkins, GA",25016
"13167","Johnson, GA",20901
"13169","Jones, GA",34168
"13171","Lamar, GA",26630
"13173","Lanier, GA",25434
"13175","Laurens, GA",29622
"13177","Lee, GA",41198
"13179","Liberty, GA",27940
"13181","Lincoln, GA",29093
"13183","Long, GA",21473
"13185","Lowndes, GA",30938
"13187","Lumpkin, GA",27573
"13189","McDuffie, GA",31174
"13191","McIntosh, GA",23235
"13193","Macon, GA",22530
"13195","Madison, GA",29317
"13197","Marion, GA",26821
"13199","Meriwether, GA",27952
"13201","Miller, GA",33685
"13205","Mitchell, GA",26493
"13207","Monroe, GA",39397
"13209","Montgomery, GA",26251
"13211","Morgan, GA",35966
"13213","Murray, GA",25177
"13215","Muscogee, GA",39611
"13217","Newton, GA",25830
"13219","Oconee, GA",53361
"13221","Oglethorpe, GA",30618
"13223","Paulding, GA",36485
"13225","Peach, GA",29801
"13227","Pickens, GA",36407
"13229","Pierce, GA",28147
"13231","Pike, GA",30608
"13233","Polk, GA",26456
"13235","Pulaski, GA",26252
"13237","Putnam, GA",32005
"13239","Quitman, GA",25757
"13241","Rabun, GA",30324
"13243","Randolph, GA",28495
"13245","Richmond, GA",30320
"13247","Rockdale, GA",31840
"13249","Schley, GA",20566
"13251","Screven, GA",29475
"13253","Seminole, GA",35865
"13255","Spalding, GA",28305
"13257","Stephens, GA",30553
"13259","Stewart, GA",23862
"13261","Sumter, GA",28685
"13263","Talbot, GA",26273
"13265","Taliaferro, GA",28126
"13267","Tattnall, GA",24181
"13269","Taylor, GA",25979
"13271","Telfair, GA",17385
"13273","Terrell, GA",32048
"13275","Thomas, GA",35687
"13277","Tift, GA",29585
"13279","Toombs, GA",30934
"13281","Towns, GA",35378
"13283","Treutlen, GA",24686
"13285","Troup, GA",32410
"13287","Turner, GA",29305
"13289","Twiggs, GA",32267
"13291","Union, GA",31281
"13293","Upson, GA",27346
"13295","Walker, GA",27250
"13297","Walton, GA",34236
"13299","Ware, GA",26878
"13301","Warren, GA",27425
"13303","Washington, GA",28950
"13305","Wayne, GA",29118
"13307","Webster, GA",24574
"13309","Wheeler, GA",17340
"13311","White, GA",25757
"13313","Whitfield, GA",28044
"13315","Wilcox, GA",25300
"13317","Wilkes, GA",28866
"13319","Wilkinson, GA",28592
"13321","Worth, GA",31944
"15001","Hawaii, HI",31749
"15003","Honolulu, HI",46624
"15007","Kauai, HI",36520
"15901","Maui + Kalawao, HI",36272
"16001","Ada, ID",39734
"16003","Adams, ID",28140
"16005","Bannock, ID",28818
"16007","Bear Lake, ID",30138
"16009","Benewah, ID",31906
"16011","Bingham, ID",27500
"16013","Blaine, ID",59465
"16015","Boise, ID",36633
"16017","Bonner, ID",31433
"16019","Bonneville, ID",34989
"16021","Boundary, ID",26714
"16023","Butte, ID",35305
"16025","Camas, ID",38661
"16027","Canyon, ID",23575
"16029","Caribou, ID",33809
"16031","Cassia, ID",34515
"16033","Clark, ID",54591
"16035","Clearwater, ID",30493
"16037","Custer, ID",34186
"16039","Elmore, ID",35173
"16041","Franklin, ID",27265
"16043","Fremont (includes Yellowstone Park), ID",24545
"16045","Gem, ID",26895
"16047","Gooding, ID",41179
"16049","Idaho, ID",27827
"16051","Jefferson, ID",27612
"16053","Jerome, ID",31543
"16055","Kootenai, ID",32923
"16057","Latah, ID",31809
"16059","Lemhi, ID",30733
"16061","Lewis, ID",43570
"16063","Lincoln, ID",30533
"16065","Madison, ID",19184
"16067","Minidoka, ID",31486
"16069","Nez Perce, ID",36109
"16071","Oneida, ID",28032
"16073","Owyhee, ID",31541
"16075","Payette, ID",28869
"16077","Power, ID",30936
"16079","Shoshone, ID",33097
"16081","Teton, ID",25705
"16083","Twin Falls, ID",32134
"16085","Valley, ID",35942
"16087","Washington, ID",27605
"17001","Adams, IL",38345
"17003","Alexander, IL",26943
"17005","Bond, IL",34642
"17007","Boone, IL",33252
"17009","Brown, IL",28616
"17011","Bureau, IL",37663
"17013","Calhoun, IL",33613
"17015","Carroll, IL",35880
"17017","Cass, IL",33988
"17019","Champaign, IL",35815
"17021","Christian, IL",38569
"17023","Clark, IL",35428
"17025","Clay, IL",33079
"17027","Clinton, IL",39241
"17029","Coles, IL",32876
"17031","Cook, IL",46937
"17033","Crawford, IL",37989
"17035","Cumberland, IL",35900
"17037","DeKalb, IL",31612
"17039","De Witt, IL",39064
"17041","Douglas, IL",39610
"17043","DuPage, IL",54509
"17045","Edgar, IL",35098
"17047","Edwards, IL",31552
"17049","Effingham, IL",37882
"17051","Fayette, IL",28478
"17053","Ford, IL",44484
"17055","Franklin, IL",29656
"17057","Fulton, IL",33723
"17059","Gallatin, IL",37066
"17061","Greene, IL",31573
"17063","Grundy, IL",34829
"17065","Hamilton, IL",34674
"17067","Hancock, IL",35155
