"CA1-3 Personal income summary"
"Population (number of persons) 1/" 
"Bureau of Economic Analysis" 
"County"
"13135","Gwinnett, GA",824941
"13137","Habersham, GA",43279
"13139","Hall, GA",183052
"13141","Hancock, GA",9400
"13143","Haralson, GA",28638
"13145","Harris, GA",32265
"13147","Hart, GA",25305
"13149","Heard, GA",11744
"13151","Henry, GA",207360
"13153","Houston, GA",143925
"13155","Irwin, GA",9679
"13157","Jackson, GA",61257
"13159","Jasper, GA",13885
"13161","Jeff Davis, GA",15162
"13163","Jefferson, GA",16675
"13165","Jenkins, GA",8148
"13167","Johnson, GA",9975
"13169","Jones, GA",28516
"13171","Lamar, GA",18194
"13173","Lanier, GA",10404
"13175","Laurens, GA",47949
"13177","Lee, GA",28575
"13179","Liberty, GA",65451
"13181","Lincoln, GA",7862
"13183","Long, GA",15136
"13185","Lowndes, GA",111885
"13187","Lumpkin, GA",30031
"13189","McDuffie, GA",21673
"13191","McIntosh, GA",14170
"13193","Macon, GA",14405
"13195","Madison, GA",27921
"13197","Marion, GA",8746
"13199","Meriwether, GA",21617
"13201","Miller, GA",6141
"13205","Mitchell, GA",23462
"13207","Monroe, GA",26625
"13209","Montgomery, GA",9065
"13211","Morgan, GA",17961
"13213","Murray, GA",39557
"13215","Muscogee, GA",194107
"13217","Newton, GA",100814
"13219","Oconee, GA",33366
"13221","Oglethorpe, GA",14686
"13223","Paulding, GA",143542
"13225","Peach, GA",27823
"13227","Pickens, GA",29415
"13229","Pierce, GA",18770
"13231","Pike, GA",17751
"13233","Polk, GA",41211
"13235","Pulaski, GA",11735
"13237","Putnam, GA",21345
"13239","Quitman, GA",2464
"13241","Rabun, GA",16274
"13243","Randolph, GA",7558
"13245","Richmond, GA",201217
"13247","Rockdale, GA",85765
"13249","Schley, GA",5020
"13251","Screven, GA",14367
"13253","Seminole, GA",8791
"13255","Spalding, GA",64033
"13257","Stephens, GA",25960
"13259","Stewart, GA",5910
"13261","Sumter, GA",32511
"13263","Talbot, GA",6751
"13265","Taliaferro, GA",1703
"13267","Tattnall, GA",25688
"13269","Taylor, GA",8499
"13271","Telfair, GA",16057
"13273","Terrell, GA",9319
"13275","Thomas, GA",44702
"13277","Tift, GA",41461
"13279","Toombs, GA",27434
"13281","Towns, GA",10611
"13283","Treutlen, GA",6825
"13285","Troup, GA",67764
"13287","Turner, GA",8875
"13289","Twiggs, GA",8779
"13291","Union, GA",21134
"13293","Upson, GA",26977
"13295","Walker, GA",68848
"13297","Walton, GA",84580
"13299","Ware, GA",36474
"13301","Warren, GA",5721
"13303","Washington, GA",21111
"13305","Wayne, GA",30327
"13307","Webster, GA",2791
"13309","Wheeler, GA",7939
"13311","White, GA",27273
"13313","Whitfield, GA",103184
"13315","Wilcox, GA",9298
"13317","Wilkes, GA",10211
"13319","Wilkinson, GA",9444
"13321","Worth, GA",21921
"15001","Hawaii, HI",186738
"15003","Honolulu, HI",963607
"15007","Kauai, HI",67701
"15901","Maui + Kalawao, HI",156764
"16001","Ada, ID",400842
"16003","Adams, ID",3977
"16005","Bannock, ID",83691
"16007","Bear Lake, ID",6001
"16009","Benewah, ID",9209
"16011","Bingham, ID",45952
"16013","Blaine, ID",21199
"16015","Boise, ID",7025
"16017","Bonner, ID",40808
"16019","Bonneville, ID",105772
"16021","Boundary, ID",10804
"16023","Butte, ID",2822
"16025","Camas, ID",1124
"16027","Canyon, ID",191694
"16029","Caribou, ID",6850
"16031","Cassia, ID",23186
"16033","Clark, ID",949
"16035","Clearwater, ID",8702
"16037","Custer, ID",4333
"16039","Elmore, ID",26346
"16041","Franklin, ID",12850
"16043","Fremont (includes Yellowstone Park), ID",13128
"16045","Gem, ID",16665
"16047","Gooding, ID",15475
"16049","Idaho, ID",16446
"16051","Jefferson, ID",26301
"16053","Jerome, ID",22682
"16055","Kootenai, ID",141132
"16057","Latah, ID",37704
"16059","Lemhi, ID",7967
"16061","Lewis, ID",3822
"16063","Lincoln, ID",5186
"16065","Madison, ID",37864
"16067","Minidoka, ID",20155
