"CA34 Wage and salary summary"
"Wage and salary employment (number of jobs)" 
"Bureau of Economic Analysis" 
"County"
"16081","Teton, ID",2768
"16083","Twin Falls, ID",34682
"16085","Valley, ID",3836
"16087","Washington, ID",3036
"17001","Adams, IL",35225
"17003","Alexander, IL",1873
"17005","Bond, IL",4759
"17007","Boone, IL",14541
"17009","Brown, IL",3371
"17011","Bureau, IL",12533
"17013","Calhoun, IL",969
"17015","Carroll, IL",4587
"17017","Cass, IL",6297
"17019","Champaign, IL",102437
"17021","Christian, IL",11718
"17023","Clark, IL",4614
"17025","Clay, IL",5183
"17027","Clinton, IL",12009
"17029","Coles, IL",25133
"17031","Cook, IL",2576256
"17033","Crawford, IL",9104
"17035","Cumberland, IL",2662
"17037","DeKalb, IL",40508
"17039","De Witt, IL",5918
"17041","Douglas, IL",8182
"17043","DuPage, IL",599672
"17045","Edgar, IL",6450
"17047","Edwards, IL",2571
"17049","Effingham, IL",20812
"17051","Fayette, IL",6549
"17053","Ford, IL",4881
"17055","Franklin, IL",9933
"17057","Fulton, IL",9370
"17059","Gallatin, IL",1283
"17061","Greene, IL",2936
"17063","Grundy, IL",17226
"17065","Hamilton, IL",1727
"17067","Hancock, IL",4510
"17069","Hardin, IL",1020
"17071","Henderson, IL",1339
"17073","Henry, IL",14211
"17075","Iroquois, IL",8890
"17077","Jackson, IL",31445
"17079","Jasper, IL",2416
"17081","Jefferson, IL",19956
"17083","Jersey, IL",5405
"17085","Jo Daviess, IL",8619
"17087","Johnson, IL",2120
"17089","Kane, IL",204458
"17091","Kankakee, IL",43598
"17093","Kendall, IL",26637
"17095","Knox, IL",22026
"17097","Lake, IL",347860
"17099","LaSalle, IL",45123
"17101","Lawrence, IL",4417
"17103","Lee, IL",12709
"17105","Livingston, IL",14593
"17107","Logan, IL",9920
"17109","McDonough, IL",14315
"17111","McHenry, IL",99029
"17113","McLean, IL",94588
"17115","Macon, IL",54618
"17117","Macoupin, IL",11158
"17119","Madison, IL",103084
"17121","Marion, IL",14289
"17123","Marshall, IL",3399
"17125","Mason, IL",3505
"17127","Massac, IL",4346
"17129","Menard, IL",2426
"17131","Mercer, IL",3530
"17133","Monroe, IL",9047
"17135","Montgomery, IL",9951
"17137","Morgan, IL",14837
"17139","Moultrie, IL",4207
"17141","Ogle, IL",16799
"17143","Peoria, IL",107920
"17145","Perry, IL",5393
"17147","Piatt, IL",3613
"17149","Pike, IL",4674
"17151","Pope, IL",721
"17153","Pulaski, IL",1808
"17155","Putnam, IL",1561
"17157","Randolph, IL",12252
"17159","Richland, IL",6763
"17161","Rock Island, IL",79735
"17163","St. Clair, IL",110565
"17165","Saline, IL",9979
"17167","Sangamon, IL",110691
"17169","Schuyler, IL",2120
"17171","Scott, IL",1132
"17173","Shelby, IL",5262
"17175","Stark, IL",1319
"17177","Stephenson, IL",19446
"17179","Tazewell, IL",62615
"17181","Union, IL",4988
"17183","Vermilion, IL",30226
"17185","Wabash, IL",3503
"17187","Warren, IL",6678
"17189","Washington, IL",5432
"17191","Wayne, IL",4847
"17193","White, IL",5026
"17195","Whiteside, IL",22056
"17197","Will, IL",215402
"17199","Williamson, IL",27662
"17201","Winnebago, IL",132639
"17203","Woodford, IL",11198
"18001","Adams, IN",13276
"18003","Allen, IN",187835
"18005","Bartholomew, IN",46941
"18007","Benton, IN",2575
"18009","Blackford, IN",3523
"18011","Boone, IN",22740
"18013","Brown, IN",3324
"18015","Carroll, IN",5463
"18017","Cass, IN",15272
"18019","Clark, IN",49821
"18021","Clay, IN",8084
"18023","Clinton, IN",11363
"18025","Crawford, IN",2101
"18027","Daviess, IN",11551
"18029","Dearborn, IN",15631
"18031","Decatur, IN",12115
"18033","DeKalb, IN",19701
"18035","Delaware, IN",49450
"18037","Dubois, IN",27753
"18039","Elkhart, IN",110199
"18041","Fayette, IN",6887
"18043","Floyd, IN",30839
"18045","Fountain, IN",5612
"18047","Franklin, IN",4457
"18049","Fulton, IN",6929
"18051","Gibson, IN",18245
"18053","Grant, IN",29027
"18055","Greene, IN",7263
"18057","Hamilton, IN",120381
"18059","Hancock, IN",20871
"18061","Harrison, IN",11754
"18063","Hendricks, IN",56367
"18065","Henry, IN",12716
"18067","Howard, IN",38304
"18069","Huntington, IN",15235
"18071","Jackson, IN",19517
"18073","Jasper, IN",11770
"18075","Jay, IN",8242
"18077","Jefferson, IN",12931
"18079","Jennings, IN",7862
"18081","Johnson, IN",46599
"18083","Knox, IN",18408
"18085","Kosciusko, IN",36306
"18087","Lagrange, IN",11816
"18089","Lake, IN",200483
"18091","LaPorte, IN",44561
"18093","Lawrence, IN",13622
"18095","Madison, IN",41952
"18097","Marion, IN",599514
"18099","Marshall, IN",18233
"18101","Martin, IN",8078
"18103","Miami, IN",9949
"18105","Monroe, IN",71530
"18107","Montgomery, IN",15504
"18109","Morgan, IN",15554
"18111","Newton, IN",3878
"18113","Noble, IN",18070
"18115","Ohio, IN",1662
"18117","Orange, IN",7723
"18119","Owen, IN",5067
"18121","Parke, IN",3464
"18123","Perry, IN",6501
"18125","Pike, IN",3383
"18127","Porter, IN",60620
"18129","Posey, IN",9316
"18131","Pulaski, IN",4663
"18133","Putnam, IN",12710
"18135","Randolph, IN",7766
"18137","Ripley, IN",14203
"18139","Rush, IN",4888
"18141","St. Joseph, IN",127849
"18143","Scott, IN",6970
"18145","Shelby, IN",16866
"18147","Spencer, IN",7391
"18149","Starke, IN",4651
"18151","Steuben, IN",14950
"18153","Sullivan, IN",6242
"18155","Switzerland, IN",2575
"18157","Tippecanoe, IN",86956
"18159","Tipton, IN",3942
"18161","Union, IN",1539
"18163","Vanderburgh, IN",113686
"18165","Vermillion, IN",4360
"18167","Vigo, IN",53638
"18169","Wabash, IN",12435
"18171","Warren, IN",2123
"18173","Warrick, IN",15749
"18175","Washington, IN",5968
"18177","Wayne, IN",30801
"18179","Wells, IN",10856
"18181","White, IN",9127
"18183","Whitley, IN",11785
"19001","Adair, IA",2946
"19003","Adams, IA",1458
"19005","Allamakee, IA",5372
"19007","Appanoose, IA",4612
"19009","Audubon, IA",1835
"19011","Benton, IA",6168
"19013","Black Hawk, IA",78106
"19015","Boone, IA",9897
"19017","Bremer, IA",10282
"19019","Buchanan, IA",6608
"19021","Buena Vista, IA",10935
"19023","Butler, IA",4072
"19025","Calhoun, IA",3298
"19027","Carroll, IA",12628
"19029","Cass, IA",6231
"19031","Cedar, IA",5912
"19033","Cerro Gordo, IA",25672
"19035","Cherokee, IA",5839
"19037","Chickasaw, IA",5086
"19039","Clarke, IA",4207
"19041","Clay, IA",9523
"19043","Clayton, IA",7125
"19045","Clinton, IA",24558
"19047","Crawford, IA",7993
"19049","Dallas, IA",35293
"19051","Davis, IA",2087
"19053","Decatur, IA",2530
"19055","Delaware, IA",6629
"19057","Des Moines, IA",22506
"19059","Dickinson, IA",8774
"19061","Dubuque, IA",58285
"19063","Emmet, IA",4365
"19065","Fayette, IA",7833
"19067","Floyd, IA",5818
"19069","Franklin, IA",4242
"19071","Fremont, IA",2863
"19073","Greene, IA",3397
"19075","Grundy, IA",4300
"19077","Guthrie, IA",3306
"19079","Hamilton, IA",6179
"19081","Hancock, IA",6064
"19083","Hardin, IA",7903
"19085","Harrison, IA",4389
"19087","Henry, IA",9741
"19089","Howard, IA",4261
"19091","Humboldt, IA",4017
"19093","Ida, IA",3510
"19095","Iowa, IA",9035
"19097","Jackson, IA",6480
"19099","Jasper, IA",11307
"19101","Jefferson, IA",7485
"19103","Johnson, IA",89088
"19105","Jones, IA",6876
"19107","Keokuk, IA",2602
"19109","Kossuth, IA",6930
"19111","Lee, IA",16673
"19113","Linn, IA",131665
"19115","Louisa, IA",3843
"19117","Lucas, IA",3292
"19119","Lyon, IA",4622
"19121","Madison, IA",3907
"19123","Mahaska, IA",8478
"19125","Marion, IA",17058
"19127","Marshall, IA",19070
"19129","Mills, IA",4312
"19131","Mitchell, IA",4010
"19133","Monona, IA",2991
"19135","Monroe, IA",3628
"19137","Montgomery, IA",4229
"19139","Muscatine, IA",22487
"19141","O'Brien, IA",6638
"19143","Osceola, IA",2370
"19145","Page, IA",6506
"19147","Palo Alto, IA",3964
