"CA1-3 Personal income summary"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"Fips","Area","2009","2010","2011"
"13009","Baldwin, GA",26497,27245,28533
"13011","Banks, GA",28011,27264,27985
"13013","Barrow, GA",28760,29099,30556
"13015","Bartow, GA",26826,27010,27762
"13017","Ben Hill, GA",25525,25810,26606
"13019","Berrien, GA",26508,27022,28286
"13021","Bibb, GA",33762,34485,35676
"13023","Bleckley, GA",28015,28667,29787
"13025","Brantley, GA",22157,22027,22900
"13027","Brooks, GA",28177,29410,31531
"13029","Bryan, GA",37942,38412,40085
"13031","Bulloch, GA",24144,24018,24335
"13033","Burke, GA",25741,27141,28549
"13035","Butts, GA",25102,24635,25336
"13037","Calhoun, GA",21134,21890,22287
"13039","Camden, GA",29103,29961,32058
"13043","Candler, GA",24009,24446,25082
"13045","Carroll, GA",27671,27944,28964
"13047","Catoosa, GA",27471,28386,29685
"13049","Charlton, GA",18385,18235,18523
"13051","Chatham, GA",38439,39852,41480
"13053","Chattahoochee, GA",30761,33906,34166
"13055","Chattooga, GA",22294,22863,23576
"13057","Cherokee, GA",34450,34780,36898
"13059","Clarke, GA",24794,25083,25587
"13061","Clay, GA",28086,28899,29996
"13063","Clayton, GA",25299,25701,26755
"13065","Clinch, GA",23655,24257,25834
"13067","Cobb, GA",43290,44427,45923
"13069","Coffee, GA",23889,24022,25110
"13071","Colquitt, GA",26296,26200,27196
"13073","Columbia, GA",39891,41004,42717
"13075","Cook, GA",23804,24071,24944
"13077","Coweta, GA",32007,32332,33842
"13079","Crawford, GA",28862,29876,31327
"13081","Crisp, GA",24988,25834,26565
"13083","Dade, GA",25287,25909,26906
"13085","Dawson, GA",31593,31379,32395
"13087","Decatur, GA",26693,27543,28718
"13089","DeKalb, GA",38636,39203,40262
"13091","Dodge, GA",21900,22424,23183
"13093","Dooly, GA",19383,19528,20384
"13095","Dougherty, GA",27331,27912,28689
"13097","Douglas, GA",28673,28566,29761
"13099","Early, GA",31553,33107,35966
"13101","Echols, GA",23035,23053,23181
"13103","Effingham, GA",32221,32713,34485
"13105","Elbert, GA",28008,27754,28713
"13107","Emanuel, GA",25139,25319,26434
"13109","Evans, GA",26648,27106,27657
"13111","Fannin, GA",27325,27390,28759
"13113","Fayette, GA",42949,42945,44460
"13115","Floyd, GA",30944,31903,33159
"13117","Forsyth, GA",37660,38733,41354
"13119","Franklin, GA",27393,27815,28956
"13121","Fulton, GA",53900,55118,57451
"13123","Gilmer, GA",27998,27162,27624
"13125","Glascock, GA",21436,21720,22659
"13127","Glynn, GA",35339,35412,36619
"13129","Gordon, GA",25542,25577,26382
"13131","Grady, GA",26311,26659,27801
"13133","Greene, GA",35507,36716,38429
"13135","Gwinnett, GA",31593,31816,32861
"13137","Habersham, GA",26405,26227,27075
"13139","Hall, GA",29945,30491,32001
"13141","Hancock, GA",20733,20062,21059
"13143","Haralson, GA",27616,27555,28347
"13145","Harris, GA",43205,45254,49114
"13147","Hart, GA",25122,25836,26552
"13149","Heard, GA",26192,25888,26289
"13151","Henry, GA",29126,28804,30143
"13153","Houston, GA",32785,33648,34674
"13155","Irwin, GA",25583,27089,28454
"13157","Jackson, GA",29021,29321,30048
"13159","Jasper, GA",28146,28412,29818
"13161","Jeff Davis, GA",22485,24021,24979
"13163","Jefferson, GA",24663,25127,26509
"13165","Jenkins, GA",23021,23269,25016
"13167","Johnson, GA",19460,20041,20901
"13169","Jones, GA",31405,32530,34168
"13171","Lamar, GA",25775,25861,26630
"13173","Lanier, GA",23243,24748,25434
"13175","Laurens, GA",28522,28737,29622
"13177","Lee, GA",37284,38968,41198
"13179","Liberty, GA",25275,27263,27940
"13181","Lincoln, GA",27122,28107,29093
"13183","Long, GA",21025,20517,21473
"13185","Lowndes, GA",29457,30198,30938
"13187","Lumpkin, GA",25949,26109,27573
"13189","McDuffie, GA",29290,29682,31174
"13191","McIntosh, GA",21734,22246,23235
"13193","Macon, GA",21409,21386,22530
"13195","Madison, GA",28605,28407,29317
"13197","Marion, GA",25832,25371,26821
"13199","Meriwether, GA",25016,26362,27952
"13201","Miller, GA",30073,31016,33685
"13205","Mitchell, GA",25568,25417,26493
"13207","Monroe, GA",36055,37486,39397
"13209","Montgomery, GA",24268,25081,26251
"13211","Morgan, GA",34519,34706,35966
"13213","Murray, GA",24072,24686,25177
"13215","Muscogee, GA",36712,37527,39611
"13217","Newton, GA",24318,24720,25830
"13219","Oconee, GA",49332,50317,53361
"13221","Oglethorpe, GA",29278,29574,30618
"13223","Paulding, GA",32439,33966,36485
"13225","Peach, GA",27972,28411,29801
"13227","Pickens, GA",34381,34678,36407
"13229","Pierce, GA",26652,27080,28147
"13231","Pike, GA",29361,28952,30608
"13233","Polk, GA",25147,25405,26456
"13235","Pulaski, GA",25530,24952,26252
"13237","Putnam, GA",31651,31334,32005
"13239","Quitman, GA",24954,24960,25757
"13241","Rabun, GA",29241,29295,30324
"13243","Randolph, GA",25763,26733,28495
"13245","Richmond, GA",29178,29391,30320
"13247","Rockdale, GA",31466,30838,31840
"13249","Schley, GA",22140,20288,20566
"13251","Screven, GA",26291,27585,29475
"13253","Seminole, GA",31093,33232,35865
"13255","Spalding, GA",26966,27356,28305
"13257","Stephens, GA",29411,29542,30553
"13259","Stewart, GA",22915,22776,23862
"13261","Sumter, GA",26916,27173,28685
"13263","Talbot, GA",23678,24518,26273
"13265","Taliaferro, GA",26807,27522,28126
"13267","Tattnall, GA",23681,23401,24181
"13269","Taylor, GA",24186,24261,25979
"13271","Telfair, GA",16292,16072,17385
"13273","Terrell, GA",29045,30226,32048
"13275","Thomas, GA",32783,33885,35687
"13277","Tift, GA",28294,29218,29585
"13279","Toombs, GA",29590,29998,30934
"13281","Towns, GA",34133,34284,35378
"13283","Treutlen, GA",23559,24043,24686
"13285","Troup, GA",28544,30176,32410
"13287","Turner, GA",26544,27886,29305
"13289","Twiggs, GA",28811,30558,32267
"13291","Union, GA",29712,29935,31281
"13293","Upson, GA",26257,25913,27346
"13295","Walker, GA",25416,26133,27250
"13297","Walton, GA",31675,32480,34236
"13299","Ware, GA",25836,26215,26878
"13301","Warren, GA",24963,26178,27425
"13303","Washington, GA",27542,27486,28950
"13305","Wayne, GA",26924,27879,29118
"13307","Webster, GA",22951,23361,24574
"13309","Wheeler, GA",17960,16868,17340
"13311","White, GA",24465,24583,25757
"13313","Whitfield, GA",27300,27147,28044
"13315","Wilcox, GA",22843,23043,25300
"13317","Wilkes, GA",27064,27316,28866
"13319","Wilkinson, GA",27039,27735,28592
"13321","Worth, GA",29888,30759,31944
"15001","Hawaii, HI",29809,30651,31749
"15003","Honolulu, HI",43798,44365,46624
"15007","Kauai, HI",33784,35054,36520
"15901","Maui + Kalawao, HI",33664,34789,36272
"16001","Ada, ID",37459,38633,39734
"16003","Adams, ID",26017,27033,28140
"16005","Bannock, ID",27775,28069,28818
"16007","Bear Lake, ID",27811,28893,30138
"16009","Benewah, ID",29037,30659,31906
"16011","Bingham, ID",25764,26009,27500
"16013","Blaine, ID",58581,55778,59465
"16015","Boise, ID",34145,34973,36633
"16017","Bonner, ID",29710,30140,31433
"16019","Bonneville, ID",33472,33869,34989
"16021","Boundary, ID",24618,24760,26714
"16023","Butte, ID",33444,32202,35305
