FIPS ,STATE,COUNTY,Manu_Emp,Govt_Emp,Farm_Emp,Total_Emp,EMP06
13089,GA,DeKalb,29396,41742,74,349641,433223
13097,GA,Douglas,1426,3678,145,25333,56389
13105,GA,Elbert,3364,1480,478,9633,10035
13111,GA,Fannin,927,846,241,5210,11062
13115,GA,Floyd,10675,7299,598,44912,54657
13117,GA,Forsyth,3663,1799,806,18089,59740
13119,GA,Franklin,1827,889,985,8420,12991
13121,GA,Fulton,52779,100927,421,715322,963372
13123,GA,Gilmer,2465,884,403,7282,14119
13129,GA,Gordon,10060,1728,841,21131,29067
13135,GA,Gwinnett,26496,17881,519,182741,401920
13137,GA,Habersham,5235,2472,759,15768,20208
13139,GA,Hall,14366,6324,1530,55862,94473
13143,GA,Haralson,2943,1185,354,9035,11085
13145,GA,Harris,798,769,281,5369,10073
13147,GA,Hart,4279,1128,737,9878,10373
13149,GA,Heard,904,476,245,2832,3953
13157,GA,Jackson,3828,1661,1240,13074,24508
13181,GA,Lincoln,945,395,228,2541,2871
13187,GA,Lumpkin,977,1181,463,5562,10873
13195,GA,Madison,299,880,782,4821,8248
13213,GA,Murray,5615,1297,320,10661,16091
13219,GA,Oconee,619,716,570,5332,13167
13221,GA,Oglethorpe,177,400,526,2547,3257
13223,GA,Paulding,745,1876,316,9315,37919
13227,GA,Pickens,694,938,302,5830,11652
13233,GA,Polk,4142,1845,465,12609,16923
13241,GA,Rabun,1370,663,341,6011,8705
13247,GA,Rockdale,6002,3207,163,26728,45718
13257,GA,Stephens,4775,1438,296,13139,13321
13281,GA,Towns,256,490,173,2789,6058
13285,GA,Troup,11850,4677,367,33046,39689
13291,GA,Union,736,908,671,5072,10600
13295,GA,Walker,7756,2639,776,19986,20626
13297,GA,Walton,2926,2119,677,13321,25464
13311,GA,White,739,832,478,6226,11492
13313,GA,Whitfield,27829,4446,554,57681,74960
13317,GA,Wilkes,2114,828,531,5819,4931
21001,KY,Adair,1164,740,1860,7059,8219
21003,KY,Allen,1152,673,1449,6221,8182
21009,KY,Barren,3902,1746,3083,19378,26778
21011,KY,Bath,198,495,1230,3463,3966
21013,KY,Bell,1016,1841,70,11781,12067
21017,KY,Bourbon,1138,913,2184,9300,10758
21019,KY,Boyd,6571,3224,299,32217,33635
21021,KY,Boyle,4388,1722,1076,17508,20814
21023,KY,Bracken,235,374,1009,2847,3282
21025,KY,Breathitt,63,930,324,5233,4877
21031,KY,Butler,2018,642,865,5443,4838
21037,KY,Campbell,3056,5182,614,29164,39537
21043,KY,Carter,1030,1119,1230,7822,10639
21045,KY,Casey,1469,675,1975,6210,7584
21049,KY,Clark,3140,1386,1454,14249,22186
21051,KY,Clay,202,1248,666,5481,6113
21053,KY,Clinton,734,533,956,3776,5191
21057,KY,Cumberland,760,326,819,3078,3121
21061,KY,Edmonson,162,623,926,2840,3289
21063,KY,Elliott,30,317,594,1490,1824
21065,KY,Estill,460,631,609,3957,4130
21067,KY,Fayette,19476,31356,2485,174078,214401
21069,KY,Fleming,907,871,1775,6044,6691
21071,KY,Floyd,426,2305,97,14789,16427
21079,KY,Garrard,447,643,1400,4720,5754
21085,KY,Grayson,2173,1198,1831,9429,12391
21087,KY,Green,976,556,1601,4514,4711
21089,KY,Greenup,3128,1520,1037,13357,13365
21093,KY,Hardin,4992,26905,2312,57074,65279
21095,KY,Harlan,201,2140,30,12132,10157
21097,KY,Harrison,2050,729,1591,7942,8649
21099,KY,Hart,1072,747,2218,6385,7793
21109,KY,Jackson,559,482,1028,3690,4801
21113,KY,Jessamine,1632,1271,1197,12429,22476
21115,KY,Johnson,515,1445,244,8071,8584
21119,KY,Knott,71,848,37,4031,5003
21121,KY,Knox,1281,1485,486,9120,14379
