Per capita personal income 2/,FIPS,AreaName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
3,1097,"Mobile, AL",2674,2920,3096,3413,3837,4334,4879,5424,5904,6526,7174,8070,8871,9201,9488,10244,10955,11333,11713,12433,13573,14410,15264,16115,16538,17264,18029,18738,19475,20838,21083,21847,22500,22947,23534,24707,26476,28624,29481,30567
3,1099,"Monroe, AL",2001,2305,2440,2678,3053,3405,3584,4123,4454,5821,6198,6257,7032,7375,8208,8736,9229,9630,10157,10778,11762,13054,14680,14679,14864,15739,16238,16980,17851,18486,19140,19588,21016,20505,22020,23627,24466,25126,26309,27628
3,1101,"Montgomery, AL",3237,3463,3865,4282,4724,5232,5667,6197,6786,7540,8181,8946,9852,10507,11505,12616,13543,14255,15186,16210,17517,18347,18908,20009,20426,21459,22374,23141,23997,25118,26096,27530,28991,30757,31885,34061,35356,37150,38154,39182
3,1103,"Morgan, AL",3205,3376,3509,3788,4145,4499,5081,5608,6217,6916,7707,8344,9388,9942,10761,12100,13050,13659,14397,15578,16723,17376,18112,19054,19440,20471,21316,21946,22692,23782,24384,25083,25496,26153,27130,28598,29685,31257,32734,33519
3,1105,"Perry, AL",1478,1927,2098,2403,2718,2814,2882,3227,3217,3969,4498,4499,5286,5512,5873,6303,6881,7039,7645,8246,9011,9938,10835,11956,12100,12789,12998,13601,14552,15211,16468,17131,17740,18019,19748,20981,22773,24033,24708,26101
3,1107,"Pickens, AL",1984,2233,2474,2726,3046,3301,3719,4093,4511,4909,5338,5712,6259,6620,6938,7691,7990,8601,9003,9686,10771,11790,12348,13285,13923,14514,15074,15900,16756,17463,18661,19024,20438,20511,21699,23465,25133,25212,26757,27887
3,1109,"Pike, AL",2270,2427,2675,3125,3417,3789,4029,4448,4838,5562,6094,6236,7022,7448,7932,8934,9608,10109,10699,11786,12959,13682,14124,15162,15754,16816,17428,18112,18785,19507,20986,21077,22991,23787,25040,27413,29051,29341,31345,32889
3,1111,"Randolph, AL",2050,2199,2183,2679,3160,3298,3943,4372,4830,5478,5745,6336,7256,7894,8170,8691,9311,9975,10743,11355,12203,12659,13093,13539,14372,15101,15298,15840,16835,17378,17531,17994,18872,19410,20014,21521,22037,22655,24413,25245
3,1113,"Russell, AL",2489,2682,2911,3163,3423,3755,3861,4276,4632,5233,5827,6568,7397,7840,8597,9732,10394,10839,11437,12034,13095,13309,13756,14559,14945,15278,16285,16382,17744,18244,18901,19831,21109,21511,22661,23395,24702,26061,27284,28548
3,1115,"St. Clair, AL",2387,2532,2805,3147,3576,3917,4548,5046,5459,6086,6651,7339,7896,8205,8707,9276,9659,10335,10687,11693,12493,13350,14136,15014,15713,16663,17335,18249,19281,20187,20773,21495,22730,23063,23733,25703,27191,28290,29479,30316
